job name,job type,salary range,salary min,salary max,skills requirements,education requirements,experience requirements,another requirements,province,city,district,company name,company industry,company size,last post,post time,obtained,url
Data Analis,Penuh Waktu · Kerja di kantor,IDR4.500.000 - 5.800.000/Bulan,4500000.0,5800000.0,"Potential Fit, Administration, Teamwork, Microsoft Excel, Data Analytics, Communication Skills",Minimal Sarjana (S1),1 - 3 tahun pengalaman,Laki-laki saja,Jawa Timur,Surabaya,Mulyorejo,PT. Cipta Rasa Multindo (Maison Pierre),Food & Beverages,51 - 200 karyawan,6 hari yang lalu,2025-04-07 19:42:29,2025-04-13 19:42:29,https://glints.com/id/opportunities/jobs/data-analis/81b51036-c703-4299-a77f-d15d6c5a6e1b?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
STAFF ANALISIS DATA,Penuh Waktu · Kerja di kantor,IDR2.500.000 - 3.000.000/Bulan,2500000.0,3000000.0,"Statistical Data Analysis, Data Analytics, Meta Ads, Data Management, Data Entry",Minimal Diploma (D1 - D4),Pengalaman kurang dari 1 tahun,20-35 tahun,Jawa Timur,Kab. Sidoarjo,Taman,Potensi Insan Berdaya,Human Resources,51 - 200 karyawan,4 hari yang lalu,2025-04-09 19:42:32,2025-04-13 19:42:32,https://glints.com/id/opportunities/jobs/staff-analisis-data/34647836-1e31-4b50-a833-b233f4c9e886?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Analis,Penuh Waktu · Kerja di kantor,IDR3.400.000 - 3.900.000/Bulan,3400000.0,3900000.0,"Potential Fit, SPSS Statistics, Microsoft Excel, Data Analytics, Statistical Data Analysis",Minimal Diploma (D1 - D4),1 - 3 tahun pengalaman,20-35 tahun,Jawa Timur,Surabaya,Rungkut,CV. Indo Sejahtera Abadi,Furniture,11 - 50 karyawan,27 hari yang lalu,2025-03-17 19:42:36,2025-04-13 19:42:36,https://glints.com/id/opportunities/jobs/data-analis/5a4dc0d5-226f-4cbb-96fa-88a4287bc44c?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Analis,Kontrak · Kerja di kantor,IDR2.000.000 - 3.000.000/Bulan,2000000.0,3000000.0,"Microsoft Excel, Microsoft Office, Google Analytics, SQL, Google Data Studio, Python, Data Analytics, Statistical Data Analysis",Minimal Diploma (D1 - D4),Pengalaman kurang dari 1 tahun,"22-30 tahun, Laki-laki saja",Jawa Timur,Surabaya,Gubeng,PT Sahabat Peternak Indonesia,Farming,11 - 50 karyawan,31 hari yang lalu,2025-03-13 19:42:40,2025-04-13 19:42:40,https://glints.com/id/opportunities/jobs/data-analis/e733d2c9-4231-45cf-a2af-1fc59024feaf?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Real Time Data Analyst,Penuh Waktu · Kerja di kantor,IDR4.500.000 - 6.500.000/Bulan,4500000.0,6500000.0,"Potential Fit, Teamwork, Microsoft Office, Microsoft Excel, Data Analytics, Google Workspace, Statistical Data Analysis",Minimal Sarjana (S1),Pengalaman kurang dari 1 tahun,,Jawa Timur,Surabaya,Suko Manunggal,Gear Inc. Indonesia,Computer Software,1001 - 5000 karyawan,3 bulan yang lalu,2025-01-13 19:42:43,2025-04-13 19:42:43,https://glints.com/id/opportunities/jobs/real-time-data-analyst/32e9e60c-99f6-4bf3-960a-89c1c7d2bb97?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
admin purchasing & data,Penuh Waktu · Kerja di kantor,IDR1.800.000 - 2.000.000/Bulan,1800000.0,2000000.0,"Potential Fit, Teamwork, Analytical Skills, Administration, Microsoft Excel, Google Sheets, Public Speaking, Customer Service",Minimal SMP,1 - 3 tahun pengalaman,"20-30 tahun, Laki-laki saja",Jawa Timur,Kab. Sidoarjo,Krian,Cerita Senja Cafe,Food & Beverages,1 - 10 karyawan,4 hari yang lalu,2025-04-09 19:42:46,2025-04-13 19:42:46,https://glints.com/id/opportunities/jobs/admin-purchasing-and-data/77e273d0-79ca-4b6b-844f-36932fee8f9c?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Analyst,Kontrak · Kerja di kantor,Unspecified,,,"Microsoft Excel, Data Analytics, Statistical Data Analysis",Minimal SMA/SMK,1 - 3 tahun pengalaman,19-27 tahun,Jawa Barat,Bogor,Bogor Timur,PT Optima Winwin Solution,Retail,11 - 50 karyawan,20 hari yang lalu,2025-03-24 19:42:49,2025-04-13 19:42:49,https://glints.com/id/opportunities/jobs/data-analyst/6b0a9c6d-f7c5-4b7a-8c36-e57f23de072e?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Admin Data,Penuh Waktu · Kerja di kantor,IDR1.500.000 - 2.000.000/Bulan,1500000.0,2000000.0,"Potential Fit, Administration, Teamwork, Analytical Skills, Google Sheets, Teliti, Data Analytics",Minimal SMA/SMK,Pengalaman kurang dari 1 tahun,"18-29 tahun, Perempuan saja",DI Yogyakarta,Kab. Bantul,Kapanewon Bantul,Wuapic Visual,Marketing and Advertising,51 - 200 karyawan,3 hari yang lalu,2025-04-10 19:42:52,2025-04-13 19:42:52,https://glints.com/id/opportunities/jobs/admin-data/416b2dd2-f49d-4f8b-99c1-edadb72a8e43?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Analyst,Penuh Waktu · Kerja di kantor,Unspecified,,,"Microsoft Excel, Statistical Data Analysis, Data Analytics",Minimal Sarjana (S1),1 - 3 tahun pengalaman,,DKI Jakarta,Jakarta Barat,Cengkareng,PT HI-COOK Indonesia,Consumer Goods,Unspecified,23 hari yang lalu,2025-03-21 19:42:56,2025-04-13 19:42:56,https://glints.com/id/opportunities/jobs/data-analyst/51ced354-58d8-41dc-a00b-c77acdd98947?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
data analyst,Penuh Waktu · Hybrid,IDR4.000.000 - 4.900.000/Bulan,4000000.0,4900000.0,"Potential Fit, Analytical Skills, Microsoft Excel, looker",Minimal Sarjana (S1),1 - 3 tahun pengalaman,,DKI Jakarta,Jakarta Barat,Cengkareng,Neo Digital,Marketing and Advertising,51 - 200 karyawan,4 hari yang lalu,2025-04-09 19:42:58,2025-04-13 19:42:58,https://glints.com/id/opportunities/jobs/data-analyst/21d4c5c7-52bb-443a-859b-43d7935cd1d6?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
